date,ticker,action,price,quantity,commission,strategy,zscore
989,LEVI,BUY,20.55,1,0.010275000000000001,mean_reversion,-1109.9108656178987
989,MHK,SELL,123.29,1,0.061645000000000005,mean_reversion,-1109.9108656178987
990,LEVI,SELL,20.5,1,0.01025,mean_reversion,-1130.9376486205397
990,MHK,BUY,125.15,1,0.062575,mean_reversion,-1130.9376486205397
991,LEVI,BUY,20.09,1,0.010045,mean_reversion,-1075.1230989747855
991,MHK,SELL,119.67,1,0.059835,mean_reversion,-1075.1230989747855
992,LEVI,SELL,19.86,1,0.00993,mean_reversion,-1055.7476340090013
992,MHK,BUY,117.68,1,0.05884,mean_reversion,-1055.7476340090013
993,LEVI,SELL,19.23,1,0.009615,trend_following,-1013.0335407889764
993,MHK,BUY,113.17,1,0.056585,trend_following,-1013.0335407889764
996,LEVI,BUY,20.66,1,0.01033,trend_following,-943.3479196336267
996,MHK,SELL,108.27,1,0.054135,trend_following,-943.3479196336267
997,LEVI,SELL,20.51,1,0.010255,trend_following,-942.9075681571315
997,MHK,BUY,108.08,1,0.05404,trend_following,-942.9075681571315
998,LEVI,BUY,20.55,1,0.010275000000000001,trend_following,-951.2742462105385
998,MHK,SELL,108.88,1,0.05444,trend_following,-951.2742462105385
999,LEVI,SELL,21.3,1,0.01065,trend_following,-954.7970580224994
999,MHK,BUY,109.95,1,0.054975,trend_following,-954.7970580224994
1000,LEVI,BUY,22.06,1,0.01103,trend_following,-984.8510462932899
1000,MHK,SELL,113.44,1,0.05672,trend_following,-984.8510462932899
1001,LEVI,BUY,21.57,1,0.010785000000000001,mean_reversion,-967.7874265791049
1001,MHK,SELL,111.4,1,0.055700000000000006,mean_reversion,-967.7874265791049
1002,LEVI,SELL,21.09,1,0.010545,mean_reversion,-960.6317150860593
1002,MHK,BUY,110.27,1,0.055134999999999997,mean_reversion,-960.6317150860593
1003,LEVI,BUY,21.13,1,0.010565,trend_following,-1017.2168798156799
1003,MHK,SELL,115.45,1,0.057725000000000005,trend_following,-1017.2168798156799
1005,LEVI,SELL,21.22,1,0.01061,trend_following,-1014.7949466949567
1005,MHK,BUY,115.32,1,0.057659999999999996,trend_following,-1014.7949466949567
1006,LEVI,BUY,21.16,1,0.01058,mean_reversion,-1010.5015197991297
1006,MHK,SELL,114.87,1,0.05743500000000001,mean_reversion,-1010.5015197991297
1007,LEVI,SELL,21.92,1,0.010960000000000001,mean_reversion,-1010.3914319300059
1007,MHK,BUY,115.62,1,0.05781,mean_reversion,-1010.3914319300059
1008,LEVI,BUY,22.0,1,0.011,mean_reversion,-1017.7673191612988
