date,ticker,action,price,quantity,commission,strategy,zscore
2024-01-16,LEVI,BUY,20.55,1,0.010275,mean_reversion,-1109.9108656178987
2024-01-16,MHK,SELL,123.29,1,0.061645,mean_reversion,-1109.9108656178987
2024-01-17,LEVI,SELL,20.5,1,0.01025,mean_reversion,-1130.9376486205397
2024-01-17,MHK,BUY,125.15,1,0.062575,mean_reversion,-1130.9376486205397
2024-01-18,LEVI,BUY,20.09,1,0.010045,mean_reversion,-1075.1230989747855
2024-01-18,MHK,SELL,119.67,1,0.059835,mean_reversion,-1075.1230989747855
2024-01-19,LEVI,SELL,19.86,1,0.00993,mean_reversion,-1055.747634009001
2024-01-19,MHK,BUY,117.68,1,0.05884,mean_reversion,-1055.747634009001
2024-01-22,LEVI,SELL,19.23,1,0.009615,trend_following,-1013.0335407889764
2024-01-22,MHK,BUY,113.17,1,0.056585,trend_following,-1013.0335407889764
2024-01-25,LEVI,BUY,20.66,1,0.01033,trend_following,-943.3479196336268
2024-01-25,MHK,SELL,108.27,1,0.054135,trend_following,-943.3479196336268
2024-01-26,LEVI,SELL,20.51,1,0.010255,trend_following,-942.9075681571315
2024-01-26,MHK,BUY,108.08,1,0.05404,trend_following,-942.9075681571315
2024-01-29,LEVI,BUY,20.55,1,0.010275,trend_following,-951.2742462105384
2024-01-29,MHK,SELL,108.88,1,0.05444,trend_following,-951.2742462105384
2024-01-30,LEVI,SELL,21.3,1,0.01065,trend_following,-954.7970580224994
2024-01-30,MHK,BUY,109.95,1,0.054975,trend_following,-954.7970580224994
2024-01-31,LEVI,BUY,22.06,1,0.01103,trend_following,-984.85104629329
2024-01-31,MHK,SELL,113.44,1,0.05672,trend_following,-984.85104629329
2024-02-01,LEVI,BUY,21.57,1,0.010785,mean_reversion,-967.7874265791048
2024-02-01,MHK,SELL,111.4,1,0.0557,mean_reversion,-967.7874265791048
2024-02-02,LEVI,SELL,21.09,1,0.010545,mean_reversion,-960.6317150860592
2024-02-02,MHK,BUY,110.27,1,0.0551349999999999,mean_reversion,-960.6317150860592
2024-02-05,LEVI,BUY,21.13,1,0.010565,trend_following,-1017.21687981568
2024-02-05,MHK,SELL,115.45,1,0.057725,trend_following,-1017.21687981568
