date,ticker,action,price,quantity,commission,cash,portfolio_value,position
2024-04-01,LEVI,NONE,20.55,0,0,100000,100000,0
2024-04-01,MHK,NONE,123.29,0,0,100000,100000,0
2024-04-02,LEVI,NONE,20.5,0,0,100000,100000.0,0
2024-04-02,MHK,NONE,125.15,0,0,100000,100000.0,0
2024-04-03,LEVI,NONE,20.09,0,0,100000,100000.0,0
2024-04-03,MHK,NONE,119.67,0,0,100000,100000.0,0
2024-04-04,LEVI,NONE,19.86,0,0,100000,100000.0,0
2024-04-04,MHK,NONE,117.68,0,0,100000,100000.0,0
2024-04-05,LEVI,NONE,19.23,0,0,100000,100000.0,0
2024-04-05,MHK,NONE,113.17,0,0,100000,100000.0,0
2024-04-08,LEVI,SELL,19.72,15,1.4789999999999999,100294.321,100000.0,-15
2024-04-08,MHK,BUY,111.72,84,46.922399999999996,90862.9186,100000.0,84
2024-04-09,LEVI,SELL,20.41,15,1.53075,91167.53785,99802.33,-30
2024-04-09,MHK,BUY,109.49,84,45.9858,81924.39205,99802.33,168
2024-04-10,LEVI,SELL,20.66,16,1.6528,82253.29925,99589.87,-46
2024-04-10,MHK,BUY,108.27,83,44.93205,73221.95719999999,99589.87,251
2024-04-11,LEVI,SELL,20.51,15,1.5382500000000003,73528.06894999999,99549.08,-61
2024-04-11,MHK,BUY,108.08,84,45.3936,64403.95534999998,99549.08,335
2024-04-12,LEVI,SELL,20.55,15,1.5412500000000002,64710.66409999998,99814.64,-76
2024-04-12,MHK,BUY,108.88,84,45.7296,55519.01449999998,99814.64,419
2024-04-15,LEVI,SELL,21.3,16,1.7040000000000002,55858.11049999999,100205.97,-92
2024-04-15,MHK,BUY,109.95,83,45.629250000000006,46686.63124999999,100205.97,502
2024-04-16,LEVI,SELL,22.06,16,1.7648,47037.82644999999,101888.03,-108
2024-04-16,MHK,BUY,113.44,83,47.077600000000004,37575.22884999999,101888.03,585
2024-04-17,LEVI,SELL,21.57,16,1.7256,37918.62325,100747.55,-124
2024-04-17,MHK,BUY,111.4,83,46.231,28626.192249999996,100747.55,668
