date,ticker,action,price,quantity,commission,cash,portfolio_value
2024-01-16,LEVI,BUY,20.55,1,0.010275,99979.439725,99995.819725
2024-01-16,MHK,SELL,123.29,1,0.061645,100102.66808,100004.03808
2024-01-17,LEVI,SELL,20.5,1,0.01025,100123.15783,100008.14783
2024-01-17,MHK,BUY,125.15,1,0.062575,99997.945255,99997.945255
2024-01-18,LEVI,BUY,20.09,1,0.010045,99977.84521,99994.22521
2024-01-18,MHK,SELL,119.67,1,0.059835,100097.455375,99998.825375
2024-01-19,LEVI,SELL,19.86,1,0.00993,100117.305445,100002.295445
2024-01-19,MHK,BUY,117.68,1,0.05884,99999.566605,99999.566605
2024-01-22,LEVI,SELL,19.23,1,0.009615,100018.78699,100002.40699
2024-01-22,MHK,BUY,113.17,1,0.056585,99905.560405,100004.190405
2024-01-25,LEVI,BUY,20.66,1,0.01033,99884.890075,99999.900075
2024-01-25,MHK,SELL,108.27,1,0.054135,99993.10594,99993.10594
2024-01-26,LEVI,SELL,20.51,1,0.010255,100013.605685,99997.225685
2024-01-26,MHK,BUY,108.08,1,0.05404,99905.471645,100004.101645
2024-01-29,LEVI,BUY,20.55,1,0.010275,99884.91137,99999.92137
2024-01-29,MHK,SELL,108.88,1,0.05444,99993.73693,99993.73693
2024-01-30,LEVI,SELL,21.3,1,0.01065,100015.02628,99998.64628
2024-01-30,MHK,BUY,109.95,1,0.054975,99905.021305,100003.651305
2024-01-31,LEVI,BUY,22.06,1,0.01103,99882.950275,99997.960275
2024-01-31,MHK,SELL,113.44,1,0.05672,99996.333555,99996.333555
2024-02-01,LEVI,BUY,21.57,1,0.010785,99974.75277,99991.13277
2024-02-01,MHK,SELL,111.4,1,0.0557,100086.09707,99987.46707
2024-02-02,LEVI,SELL,21.09,1,0.010545,100107.176525,99992.166525
2024-02-02,MHK,BUY,110.27,1,0.0551349999999999,99996.85138999998,99996.85138999998
2024-02-05,LEVI,BUY,21.13,1,0.010565,99975.710825,99992.090825
2024-02-05,MHK,SELL,115.45,1,0.057725,100091.1031,99992.4731
2024-02-07,LEVI,SELL,21.22,1,0.01061,100112.31249,99997.30249
2024-02-07,MHK,BUY,115.32,1,0.0576599999999999,99996.93483,99996.93483
2024-02-08,LEVI,BUY,21.16,1,0.01058,99975.76425,99992.14425
2024-02-08,MHK,SELL,114.87,1,0.057435,100090.576815,99991.946815
2024-02-09,LEVI,SELL,21.92,1,0.01096,100112.485855,99997.475855
2024-02-09,MHK,BUY,115.62,1,0.05781,99996.808045,99996.808045
2024-02-12,LEVI,BUY,22.0,1,0.011,99974.797045,99991.177045
2024-02-12,MHK,SELL,116.37,1,0.058185,100091.10886,99992.47886
2024-02-13,LEVI,SELL,22.16,1,0.01108,100113.25778,99998.24778
2024-02-13,MHK,BUY,118.04,1,0.05902,99995.15876,99995.15876
2024-02-14,LEVI,BUY,22.25,1,0.011125,99972.897635,99989.277635
2024-02-14,MHK,SELL,118.11,1,0.059055,100090.94858,99992.31858
2024-02-15,LEVI,SELL,21.98,1,0.01099,100112.91759,99997.90759
2024-02-15,MHK,BUY,118.22,1,0.05911,99994.63848,99994.63848
2024-02-16,LEVI,BUY,22.68,1,0.01134,99971.94714,99988.32714
2024-02-16,MHK,SELL,119.72,1,0.05986,100091.60728,99992.97728
2024-02-19,LEVI,SELL,22.62,1,0.01131,100114.21597,99999.20597
2024-02-19,MHK,BUY,119.81,1,0.059905,99994.346065,99994.346065
2024-02-20,LEVI,BUY,22.68,1,0.01134,99971.654725,99988.034725
2024-02-20,MHK,SELL,121.07,1,0.060535,100092.66418999998,99994.03419
2024-02-21,LEVI,SELL,22.97,1,0.011485,100115.622705,100000.612705
2024-02-21,MHK,BUY,123.02,1,0.06151,99992.54119499998,99992.54119499998
2024-02-22,LEVI,BUY,22.12,1,0.01106,99970.41013499998,99986.790135
2024-02-22,MHK,SELL,123.28,1,0.06164,100093.62849499998,99994.998495
2024-02-23,LEVI,SELL,22.2,1,0.0111,100115.81739499998,100000.80739499998
2024-02-23,MHK,BUY,120.87,1,0.060435,99994.88695999996,99994.88695999996
2024-02-26,LEVI,BUY,22.08,1,0.01104,99972.79591999998,99989.17591999998
2024-02-26,MHK,SELL,120.36,1,0.06018,100093.09573999998,99994.46574
2024-02-27,LEVI,SELL,21.84,1,0.01092,100114.92481999996,99999.91481999998
2024-02-27,MHK,BUY,118.92,1,0.05946,99995.94535999995,99995.94535999995
2024-02-28,LEVI,BUY,21.95,1,0.010975,99973.98438499996,99990.36438499998
2024-02-28,MHK,SELL,119.56,1,0.05978,100093.48460499998,99994.854605
2024-02-29,LEVI,SELL,21.74,1,0.01087,100115.21373499998,100000.203735
2024-02-29,MHK,BUY,117.41,1,0.058705,99997.74502999998,99997.74502999998
2024-03-01,LEVI,BUY,21.69,1,0.010845,99976.04418499998,99992.42418499998
2024-03-01,MHK,SELL,115.76,1,0.05788,100091.74630499998,99993.116305
2024-03-04,LEVI,SELL,22.14,1,0.01107,100113.87523499998,99998.865235
2024-03-04,MHK,BUY,116.43,1,0.058215,99997.38701999998,99997.38701999998
2024-03-05,LEVI,BUY,22.62,1,0.01131,99974.75570999998,99991.13571
2024-03-05,MHK,SELL,115.76,1,0.05788,100090.45782999998,99991.82783
2024-03-06,LEVI,SELL,22.78,1,0.01139,100113.22643999998,99998.21644
2024-03-06,MHK,BUY,116.02,1,0.05801,99997.14843,99997.14843
2024-03-07,LEVI,BUY,23.49,1,0.011745,99973.646685,99990.026685
2024-03-07,MHK,SELL,118.61,1,0.059305,100092.19737999998,99993.56738
2024-03-08,LEVI,SELL,24.01,1,0.012005,100116.19537499998,100001.185375
2024-03-08,MHK,BUY,121.93,1,0.060965,99994.20440999998,99994.20440999998
2024-03-11,LEVI,BUY,24.16,1,0.01208,99970.03232999996,99986.41232999998
2024-03-11,MHK,SELL,121.11,1,0.060555,100091.08177499996,99992.45177499998
2024-03-12,LEVI,SELL,23.75,1,0.011875,100114.81989999996,99999.80989999998
2024-03-12,MHK,BUY,115.66,1,0.05783,99999.10206999998,99999.10206999998
2024-03-13,LEVI,BUY,24.17,1,0.012085,99974.919985,99991.299985
2024-03-13,MHK,SELL,117.93,1,0.058965,100092.79102,99994.16102
2024-03-14,LEVI,SELL,23.84,1,0.01192,100116.6191,100001.6091
2024-03-14,MHK,BUY,115.97,1,0.057985,100000.591115,100000.591115
2024-03-15,LEVI,BUY,23.53,1,0.011765,99977.04935,99993.42935
2024-03-15,MHK,SELL,113.43,1,0.056715,100090.422635,99991.792635
2024-03-18,LEVI,SELL,23.58,1,0.01179,100113.990845,99998.980845
2024-03-18,MHK,BUY,118.08,1,0.05904,99995.851805,99995.851805
2024-03-19,LEVI,BUY,23.7,1,0.01185,99972.139955,99988.519955
2024-03-19,MHK,SELL,113.74,1,0.05687,100085.823085,99987.193085
2024-03-20,LEVI,SELL,23.71,1,0.011855,100109.52123,99994.51123
2024-03-20,MHK,BUY,115.5,1,0.05775,99993.96348,99993.96348
2024-03-21,LEVI,BUY,23.38,1,0.0116899999999999,99970.57179,99986.95179
2024-03-21,MHK,SELL,113.78,1,0.05689,100084.2949,99985.6649
2024-03-22,LEVI,SELL,22.85,1,0.011425,100107.133475,99992.123475
2024-03-22,MHK,BUY,112.02,1,0.05601,99995.057465,99995.057465
2024-03-25,LEVI,BUY,23.48,1,0.01174,99971.565725,99987.945725
2024-03-25,MHK,SELL,112.45,1,0.056225,100083.9595,99985.3295
2024-03-26,LEVI,SELL,23.54,1,0.01177,100107.48773,99992.47773
2024-03-26,MHK,BUY,111.5,1,0.05575,99995.93198,99995.93198
2024-03-27,LEVI,BUY,23.02,1,0.01151,99972.90047,99989.28047
2024-03-27,MHK,SELL,111.35,1,0.0556749999999999,100084.194795,99985.564795
2024-03-28,LEVI,SELL,23.01,1,0.011505,100107.19329,99992.18329
2024-03-28,MHK,BUY,113.0,1,0.0565,99994.13679,99994.13679
2024-03-29,LEVI,BUY,23.22,1,0.01161,99970.90518,99987.28518
2024-03-29,MHK,SELL,112.77,1,0.056385,100083.618795,99984.988795
2024-04-01,LEVI,SELL,23.0,1,0.0115,100106.607295,99991.597295
2024-04-01,MHK,BUY,106.33,1,0.053165,100000.22413,100000.22413
2024-04-02,LEVI,BUY,23.12,1,0.01156,99977.09257,99993.47257
2024-04-02,MHK,SELL,106.81,1,0.053405,100083.849165,99985.219165
2024-04-03,LEVI,SELL,19.56,1,0.0097799999999999,100103.399385,99988.389385
2024-04-03,MHK,BUY,108.05,1,0.054025,99995.29536,99995.29536
2024-04-04,LEVI,BUY,19.28,1,0.00964,99976.00572,99992.38572
2024-04-04,MHK,SELL,113.59,1,0.056795,100089.538925,99990.908925
2024-04-05,LEVI,SELL,19.22,1,0.00961,100108.749315,99993.739315
2024-04-05,MHK,BUY,109.9,1,0.05495,99998.794365,99998.794365
2024-04-08,LEVI,BUY,19.08,1,0.00954,99979.704825,99996.084825
2024-04-08,MHK,SELL,110.33,1,0.055165,100089.97966,99991.34966
2024-04-09,LEVI,SELL,19.04,1,0.0095199999999999,100109.01014,99994.00014
2024-04-09,MHK,BUY,109.85,1,0.054925,99999.105215,99999.105215
2024-04-10,LEVI,BUY,19.13,1,0.0095649999999999,99979.96565,99996.34565
2024-04-10,MHK,SELL,108.83,1,0.054415,100088.741235,99990.111235
2024-04-11,LEVI,SELL,18.96,1,0.00948,100107.691755,99992.681755
2024-04-11,MHK,BUY,111.85,1,0.0559249999999999,99995.78583,99995.78583
2024-04-12,LEVI,BUY,18.38,1,0.00919,99977.39664,99993.77664
2024-04-12,MHK,SELL,109.98,1,0.05499,100087.32165,99988.69165
2024-04-15,LEVI,SELL,18.56,1,0.00928,100105.87237,99990.86237
2024-04-15,MHK,BUY,112.94,1,0.05647,99992.8759,99992.8759
2024-04-16,LEVI,BUY,19.12,1,0.00956,99973.74634,99990.12634
2024-04-16,MHK,SELL,121.3,1,0.06065,100094.98569,99996.35569
2024-04-17,LEVI,SELL,19.11,1,0.009555,100114.086135,99999.076135
2024-04-17,MHK,BUY,124.97,1,0.062485,99989.05365,99989.05365
2024-04-18,LEVI,BUY,18.62,1,0.00931,99970.42434,99986.80434
2024-04-18,MHK,SELL,127.83,1,0.063915,100098.190425,99999.560425
2024-04-19,LEVI,SELL,18.95,1,0.0094749999999999,100117.13095,100002.12095
2024-04-19,MHK,BUY,132.7,1,0.0663499999999999,99984.3646,99984.3646
2024-04-22,LEVI,BUY,18.5,1,0.00925,99965.85534999998,99982.23535
2024-04-22,MHK,SELL,131.97,1,0.065985,100097.75936499998,99999.129365
2024-04-23,LEVI,SELL,18.36,1,0.00918,100116.11018499998,100001.100185
