,LEVI,MHK,LEVI_position,MHK_position,cumulative_pnl,portfolio_value
2024-04-01,20.55,123.29,0,0,0.0,100000.0
2024-04-02,20.5,125.15,0,0,0.0,100000.0
2024-04-03,20.09,119.67,0,0,0.0,100000.0
2024-04-04,19.86,117.68,0,0,0.0,100000.0
2024-04-05,19.23,113.17,0,0,0.0,100000.0
2024-04-08,19.72,111.72,-15,84,0.0,100000.0
2024-04-09,20.41,109.49,-30,168,-197.67000000000036,99802.33
2024-04-10,20.66,108.27,-46,251,-410.13000000000017,99589.87
2024-04-11,20.51,108.08,-61,335,-450.9199999999997,99549.08
2024-04-12,20.55,108.88,-76,419,-185.36000000000058,99814.64
2024-04-15,21.3,109.95,-92,502,205.97000000000253,100205.97
2024-04-16,22.06,113.44,-108,585,1888.0300000000002,101888.03
2024-04-17,21.57,111.4,-124,668,747.5500000000047,100747.55
2024-04-18,21.09,110.27,-140,751,52.22999999999831,100052.23
2024-04-19,21.13,115.45,-155,835,3936.8100000000036,103936.81
2024-04-22,21.73,118.43,-170,919,6332.110000000006,106332.11
2024-04-23,21.22,115.32,-185,1003,3560.719999999994,103560.72
2024-04-24,21.16,114.87,-200,1087,3120.470000000005,103120.47
2024-04-25,21.92,115.62,-215,1171,3783.7200000000043,103783.72
2024-04-26,22.0,116.37,-230,1255,4644.770000000005,104644.77
2024-04-29,22.16,118.04,-245,1339,6703.820000000007,106703.82
2024-04-30,22.25,118.11,-260,1423,6775.499999999998,106775.5
2024-05-01,21.98,118.22,-275,1507,7002.229999999997,107002.23
2024-05-02,22.68,119.72,-290,1591,9070.229999999996,109070.23
2024-05-03,22.62,119.81,-305,1675,9230.820000000002,109230.82
2024-05-06,22.68,121.07,-320,1759,11323.019999999986,111323.01999999999
2024-05-07,22.97,123.02,-335,1843,14660.269999999991,114660.26999999999
2024-05-08,22.12,123.28,-350,1927,15424.2,115424.2
2024-05-09,22.2,120.87,-365,2011,10752.130000000008,110752.13
2024-05-10,22.08,120.36,-380,2095,9770.319999999998,109770.31999999999
2024-05-13,21.84,118.92,0,100,13689.439999999999,113689.44
2024-05-14,21.95,119.56,-15,184,13753.439999999999,113753.44
2024-05-15,21.74,117.41,-30,268,13360.989999999998,113360.98999999999
2024-05-16,21.69,115.76,-45,352,12920.29,112920.29000000001
2024-05-17,22.14,116.43,-60,436,13135.880000000001,113135.88
2024-05-20,22.62,115.76,-76,519,12814.960000000001,112814.96
2024-05-21,22.78,116.02,100,0,12186.039999999986,112186.03999999998
2024-05-22,23.49,118.61,84,83,12257.039999999986,112257.03999999998
2024-05-23,24.01,121.93,100,0,12955.159999999987,112955.15999999999
2024-05-24,24.16,121.11,84,83,12970.159999999987,112970.15999999999
2024-05-28,23.75,115.66,67,165,12483.369999999986,112483.36999999998
2024-05-29,24.17,117.93,100,0,12818.979999999989,112818.97999999998
2024-05-30,23.84,115.97,83,82,12785.979999999989,112785.97999999998
2024-05-31,23.53,113.43,100,0,12290.56999999999,112290.56999999999
2024-06-03,23.58,118.08,84,83,12295.56999999999,112295.56999999999
2024-06-04,23.7,113.74,100,0,11599.48999999999,111599.48999999999
2024-06-05,23.71,115.5,0,0,11601.48999999999,111601.48999999999
2024-06-06,23.38,113.78,-17,82,11601.48999999999,111601.48999999999
2024-06-07,22.85,112.02,-33,165,11466.17999999999,111466.18
2024-06-10,23.48,112.45,-50,247,11516.339999999991,111516.34
2024-06-11,23.54,111.5,-67,329,11278.68999999999,111278.68999999999
2024-06-12,23.02,111.35,-84,411,11264.179999999988,111264.18
2024-06-13,23.01,113.0,-100,494,11943.16999999999,111943.16999999998
2024-06-14,23.22,112.77,-117,576,11808.549999999988,111808.54999999999
2024-06-17,23.0,106.33,-134,658,8124.849999999989,108124.84999999999
2024-06-18,23.12,106.81,-151,740,8424.609999999991,108424.60999999999
2024-06-20,19.56,108.05,-151,740,9879.769999999988,109879.76999999999
2024-06-21,19.28,113.59,0,0,16441.809999999998,116441.81
2024-06-24,19.22,109.9,0,0,16441.809999999998,116441.81
2024-06-25,19.08,110.33,0,0,16441.809999999998,116441.81
2024-06-26,19.04,109.85,0,0,16441.809999999998,116441.81
2024-06-27,19.13,108.83,0,0,16441.809999999998,116441.81
2024-06-28,18.96,111.85,0,0,16441.809999999998,116441.81
2024-07-01,18.38,109.98,0,0,16441.809999999998,116441.81
2024-07-02,18.56,112.94,0,0,16441.809999999998,116441.81
2024-07-03,19.12,121.3,0,0,16441.809999999998,116441.81
2024-07-05,19.11,124.97,0,0,16441.809999999998,116441.81
2024-07-08,18.62,127.83,0,0,16441.809999999998,116441.81
2024-07-09,18.95,132.7,0,0,16441.809999999998,116441.81
2024-07-10,18.5,131.97,0,0,16441.809999999998,116441.81
2024-07-11,18.36,131.18,0,0,16441.809999999998,116441.81
2024-07-12,18.33,129.04,0,0,16441.809999999998,116441.81
2024-07-15,18.48,127.32,0,0,16441.809999999998,116441.81
