date,ticker,action,price,quantity,commission,cash,portfolio_value
989,LEVI,BUY,20.55,1,0.010275000000000001,99979.439725,99995.81972500001
989,MHK,SELL,123.29,1,0.061645000000000005,100102.66808,100004.03808000001
990,LEVI,SELL,20.5,1,0.01025,100123.15783,100008.14783
990,MHK,BUY,125.15,1,0.062575,99997.945255,99997.945255
991,LEVI,BUY,20.09,1,0.010045,99977.84521,99994.22521
991,MHK,SELL,119.67,1,0.059835,100097.455375,99998.82537500001
992,LEVI,SELL,19.86,1,0.00993,100117.305445,100002.29544500001
992,MHK,BUY,117.68,1,0.05884,99999.566605,99999.566605
993,LEVI,SELL,19.23,1,0.009615,100018.78699,100002.40698999999
993,MHK,BUY,113.17,1,0.056585,99905.560405,100004.19040499999
996,LEVI,BUY,20.66,1,0.01033,99884.890075,99999.900075
996,MHK,SELL,108.27,1,0.054135,99993.10594000001,99993.10594000001
997,LEVI,SELL,20.51,1,0.010255,100013.605685,99997.225685
997,MHK,BUY,108.08,1,0.05404,99905.471645,100004.10164499999
998,LEVI,BUY,20.55,1,0.010275000000000001,99884.91137,99999.92137
998,MHK,SELL,108.88,1,0.05444,99993.73693,99993.73693
999,LEVI,SELL,21.3,1,0.01065,100015.02628,99998.64628
999,MHK,BUY,109.95,1,0.054975,99905.021305,100003.65130499999
1000,LEVI,BUY,22.06,1,0.01103,99882.950275,99997.96027499999
1000,MHK,SELL,113.44,1,0.05672,99996.33355499999,99996.33355499999
1001,LEVI,BUY,21.57,1,0.010785000000000001,99974.75276999999,99991.13277
1001,MHK,SELL,111.4,1,0.055700000000000006,100086.09706999999,99987.46707
1002,LEVI,SELL,21.09,1,0.010545,100107.17652499999,99992.166525
1002,MHK,BUY,110.27,1,0.055134999999999997,99996.85138999998,99996.85138999998
1003,LEVI,BUY,21.13,1,0.010565,99975.71082499999,99992.09082499999
1003,MHK,SELL,115.45,1,0.057725000000000005,100091.1031,99992.4731
1005,LEVI,SELL,21.22,1,0.01061,100112.31249,99997.30249
1005,MHK,BUY,115.32,1,0.057659999999999996,99996.93483,99996.93483
1006,LEVI,BUY,21.16,1,0.01058,99975.76425,99992.14425
1006,MHK,SELL,114.87,1,0.05743500000000001,100090.576815,99991.946815
1007,LEVI,SELL,21.92,1,0.010960000000000001,100112.48585499999,99997.475855
1007,MHK,BUY,115.62,1,0.05781,99996.808045,99996.808045
1008,LEVI,BUY,22.0,1,0.011,99974.797045,99991.177045
1008,MHK,SELL,116.37,1,0.058185,100091.10886,99992.47886
1009,LEVI,SELL,22.16,1,0.01108,100113.25778,99998.24778
1009,MHK,BUY,118.04,1,0.05902,99995.15876,99995.15876
1010,LEVI,BUY,22.25,1,0.011125,99972.897635,99989.277635
1010,MHK,SELL,118.11,1,0.059055,100090.94858,99992.31858
1011,LEVI,SELL,21.98,1,0.01099,100112.91759,99997.90759
1011,MHK,BUY,118.22,1,0.05911,99994.63848,99994.63848
1012,LEVI,BUY,22.68,1,0.01134,99971.94713999999,99988.32714
