ticker1,ticker2,coint_score,p_value,is_cointegrated
PFGC,ENSG,-6.510952045696436,1.1882019804939173e-07,True
CNP,KO,-5.529763014907053,1.5609506604471283e-05,True
CSL,MOH,-5.4183426505708026,2.6087108103911083e-05,True
NAVI,KLIC,-5.3482793876845145,3.5859690294043535e-05,True
POLA,FORD,-5.3404378123424845,3.715100953639541e-05,True
ULTA,ASR,-5.263168146409128,5.2512086204316974e-05,True
CCEP,GIB,-5.058064709235635,0.00012857839010335523,True
DLTH,WHR,-5.03334129600551,0.00014290157391695334,True
IESC,FTAI,-5.029380376554222,0.000145333263602465,True
FLEX,BMI,-4.99452248857079,0.00016850307405925512,True
PTMN,FLL,-4.990534491193719,0.00017136782551995777,True
VRT,LII,-4.822671593409225,0.00034413093260584715,True
ENTA,PINC,-4.780517642571615,0.00040839533342035625,True
BMA,SUPV,-4.6484739843049905,0.0006910465541287286,True
DAN,MGA,-4.6429957467559895,0.0007060494274289514,True
EL,UGI,-4.637592540227875,0.0007211462967566467,True
TITN,RICK,-4.623471050811833,0.0007620473811224164,True
BLNK,PLUG,-4.614362789413787,0.0007895735032900639,True
LEVI,MHK,-4.602177562704905,0.0008278599645469124,True
IPI,ICL,-4.523684956269569,0.001119383296557832,True
SENS,OCGN,-4.511949722826594,0.0011704446685807423,True
EVR,JPM,-4.4791342440234345,0.0013250110122488522,True
MTRN,IPAR,-4.361545055244393,0.00204905678729739,True
MUFG,UBS,-4.33580312407519,0.002250201658798788,True
XHR,SHO,-4.322377181707545,0.002362215218681001,True
OII,RIG,-4.279636143923517,0.0027540261325586625,True
OTTR,COKE,-4.195719054100174,0.0037026928681728366,True
BTAI,QURE,-4.175395549558694,0.003973619094800431,True
CAMT,DELL,-4.113493733270995,0.004914391570733752,True
MT,CLF,-3.949210821937262,0.008472792186814813,True
ADX,TQQQ,-3.88252115607555,0.010484087408991706,True
GBCI,CBSH,-3.879401237032144,0.010587848419830407,True
PCAR,FICO,-3.869623502077269,0.010918993183698615,True
MANH,CMG,-3.8489672290071337,0.011649075494159809,True
STNE,WIX,-3.79541837004223,0.013747666878304334,True
GLPG,ASMB,-3.7869704512662645,0.014107649389814698,True
TT,ITT,-3.7628995993520804,0.015179418210655708,True
ESPO,BOTZ,-3.6564995455988227,0.020821762426749282,True
EUFN,SAN,-3.618599443510577,0.023232626066820226,True
APLT,ABEO,-3.602137433205862,0.02435279270330122,True
MA,V,-3.547746655402227,0.028391031729292887,True
TMHC,GRBK,-3.531599976078802,0.02969505920266809,True
BLK,PIO,-3.4837776450174456,0.033860815331524546,True
CDC,AA,-3.365289188861385,0.04635469631376906,True
CLAR,OMCL,-3.324707961729117,0.0514283635633854,True
HSY,PEP,-3.06627936047888,0.09527838238575337,False
GYLD,MDIV,-2.940707550344119,0.12498054757817201,False
COF,SYF,-2.776539768694759,0.17326346855361974,False
RLJ,INN,-2.611618075729552,0.23217501495606752,False
ICLN,QCLN,-2.5929075414873357,0.23969838812507666,False
